brand,name,year,rating,votes,longevity,sillage,accord1,accord2
4160_Tuesdays,The Dark Heart Of Old Havana,2013,76.7568,37,79.5,76.5,sweet,spicy
4160_Tuesdays,Centrepiece,2015,81.5714,35,75.4167,67.8261,gourmand,sweet
4160_Tuesdays,Mother Nature s Naughty Daughters,2016,76.7742,31,83.913,76.5217,fruity,floral
4160_Tuesdays,Sunshine And Pancakes,null,76.6667,27,75.4762,72.619,gourmand,citrusy
4160_Tuesdays,The Sexiest Scent on the Planet Ever IMHO,2013,72.963,27,70.2174,63.0435,sweet,woody
4160_Tuesdays,Eau My Soul,2017,80.0,20,79.4118,67.6471,spicy,woody
4160_Tuesdays,MrsGlossMadeMeDoIt,2016,80.5882,17,78.0,71.3333,sweet,gourmand
4160_Tuesdays,What I Did On My Holidays,2013,70.0,17,81.9231,65.3571,fresh,aquatic
4160_Tuesdays,Crimes of Passion  Maxed Out,2015,66.4706,17,84.2857,74.6429,woody,spicy
4160_Tuesdays,The Lion Cupboard,null,79.0625,16,72.6923,64.2308,spicy,woody
4160_Tuesdays,Crimes of Passion  Inevitable Crimes of Passion,2015,74.2857,14,82.5,77.5,spicy,woody
4160_Tuesdays,New York 1955,null,73.9286,14,78.1818,73.0769,floral,sweet
4160_Tuesdays,Be Careful What You Wish For,2015,70.0,14,82.8571,80.7143,sweet,woody
4160_Tuesdays,Doe in the Snow,2014,65.3571,14,74.5833,65.8333,fruity,floral
4160_Tuesdays,Shazam,2013,75.0,13,77.2727,66.5,spicy,resinous
4160_Tuesdays,Babylon Sunset Says Alice,2013,74.6154,13,71.5385,65.8333,sweet,fruity
4160_Tuesdays,Crimes of Passion  Goddess of Love  Perfume,2015,75.4545,11,80.5556,68.3333,green,fruity
4160_Tuesdays,Evil Max,null,69.0909,11,76.25,65.0,leathery,woody
4160_Tuesdays,Captured By Candlelight,null,80.5,10,76.6667,70.0,fruity,gourmand
4160_Tuesdays,Crimes of Passion  Midnight in the Palace Garden,2015,76.0,10,80.5556,75.0,woody,spicy
4711,4711 Echt Koelnisch Wasser,1792,65.7511,474,41.4894,43.5211,fresh,citrusy
4711,Nouveau Cologne,2011,63.7435,191,49.3214,42.7404,fresh,citrusy
4711,Acqua Colonia Blood Orange  Basil,2010,72.5278,180,46.4706,44.3023,fresh,citrusy
4711,Acqua Colonia Lemon Ginger,2009,60.5032,155,39.4783,39.1262,citrusy,fresh
4711,Acqua Colonia Pink Pepper  Grapefruit,2013,69.1216,148,48.2301,42.1121,fresh,citrusy
4711,Acqua Colonia Mandarine  Cardamom,2012,69.0753,146,48.1905,46.3182,fresh,fruity
4711,WunderWasser fuer Ihn Eau de Cologne,2014,64.2636,129,56.4535,52.5,fresh,citrusy
4711,WunderWasser Women,2014,59.5528,123,51.0,45.0625,fresh,floral
4711,Acqua Colonia Lime  Nutmeg,2015,72.2083,120,47.402,43.1068,citrusy,fresh
4711,Remix Cologne Edition 2018,2018,79.5,110,53.1183,50.9783,citrusy,fresh
4711,Acqua Colonia Melissa Verbena,2009,67.5806,93,44.9219,43.3621,fresh,citrusy
4711,Irisch Moos Eau de Cologne,1969,53.9011,91,61.2931,58.4259,green,spicy
4711,Acqua Colonia Rhubarb  Clary Sage,2010,66.5116,86,44.0678,41.4894,fruity,fresh
4711,Remix Cologne Edition 2019,2019,73.625,80,53.3333,49.8507,floral,powdery
4711,Acqua Colonia Lavender Thyme,2009,63.95,80,47.4603,47.0,fresh,spicy
4711,Acqua Colonia Juniper Berry  Marjoram,2011,65.7595,79,45.75,42.1,spicy,fresh
4711,Acqua Colonia White Peach  Coriander,2017,68.9474,76,51.2308,50.1515,fruity,fresh
4711,Remix Cologne Anniversary Edition,2017,81.1268,71,53.3871,54.8387,fresh,citrusy
4711,Acqua Colonia Vetyver Bergamot,2009,64.6429,70,44.1837,40.2273,fresh,citrusy
4711,Acqua Colonia Plum  Honey,2014,63.1967,61,55.8333,48.2292,fruity,sweet
A_Lab_on_Fire,Liquidnight,2012,78.0645,124,75.101,64.902,woody,spicy
A_Lab_on_Fire,Almost Transparent Blue,2013,77.8761,113,66.8085,60.9043,fresh,citrusy
A_Lab_on_Fire,What We Do In Paris Is Secret,2012,74.4811,106,77.3571,67.027,sweet,gourmand
A_Lab_on_Fire,Messy Sexy Just Rolled Out Of Bed,2016,80.5172,87,78.25,73.8272,sweet,gourmand
A_Lab_on_Fire,ParisL A ,2014,75.5645,62,74.3396,69.902,gourmand,sweet
A_Lab_on_Fire,L Anonyme ou OP1475A,2011,67.8261,46,64.1176,55.9375,floral,fresh
A_Lab_on_Fire,California Snow,2017,77.5,42,77.5,69.4737,floral,fresh
A_Lab_on_Fire,Hossegor,2019,75.5882,34,72.069,62.0,woody,aquatic
A_Lab_on_Fire,Hallucinogenic Pearl,2018,73.1818,33,75.3333,71.0,leathery,powdery
A_Lab_on_Fire,Sweet Dreams 2003,2012,71.7188,32,60.1852,52.6,fruity,fresh
A_Lab_on_Fire,Rose Rebelle Respawn,2013,68.5938,32,67.5,52.1154,floral,gourmand
A_Lab_on_Fire,Made in Heaven,2014,62.9545,22,86.4286,76.6667,gourmand,floral
A_Lab_on_Fire,My Own Private Teahupo o,2017,71.1765,17,75.8333,64.1667,sweet,powdery
A_Lab_on_Fire,Eau d Ipanema,2016,66.3636,11,70.9091,62.5,floral,fruity
A_Lab_on_Fire,Rose Rebelle,2011,71.25,8,80.0,72.5,floral,spicy
A_Lab_on_Fire,Oxymusc,2014,60.0,4,29.0,47.5,floral,powdery
A_Lab_on_Fire,What We Do is Secret,2011,50.0,3,58.3333,58.3333,fresh,fruity
A_Lab_on_Fire,One Night In Rio,2015,75.0,2,68.3333,63.3333,null,fruity
A_Lab_on_Fire,And The World Is Yours,2018,null,10,null,null,spicy,floral
A_Lab_on_Fire,Mon Musc  Moi,2015,null,2,62.5,62.5,null,floral
Abdul_Samad_Al_Qurashi,Makan Blend Makkah Blend,null,83.4058,69,84.2241,77.069,oriental,spicy
Abdul_Samad_Al_Qurashi,Safari Extreme,null,86.4286,56,86.1,82.1,woody,sweet
Abdul_Samad_Al_Qurashi,Maleeh Al Aoud,null,89.5588,34,88.9655,80.9677,oriental,floral
Abdul_Samad_Al_Qurashi,Misk Al Jism Body Musk,null,87.25,20,85.5263,80.3125,floral,fresh
